[2025-01-05 14:30:52,847: INFO: main: Logging is Implemented]
[2025-01-05 23:21:08,304: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-05 23:21:08,317: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-05 23:21:08,324: INFO: common: created directory at: artifacts]
[2025-01-05 23:21:08,330: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-05 23:21:12,944: INFO: 227420655: File is downloaded]
[2025-01-05 23:37:07,635: INFO: main: Logging is Implemented]
[2025-01-05 23:37:07,636: INFO: main: stage Data Ingestion stage initiated]
[2025-01-05 23:37:07,643: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-05 23:37:07,646: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-05 23:37:07,649: INFO: common: created directory at: artifacts]
[2025-01-05 23:37:07,650: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-05 23:37:15,793: INFO: data_ingestion: File is downloaded]
[2025-01-05 23:37:16,066: INFO: main: Stage Data Ingestion stage completed]
